Country,Rice Production (Tons),Rank of Rice Production,Rice Production Per Person (Kg),Rank of Rice Production Per Person,Rice Acreage (Hectare),Rank of Rice Acreage,Rice Yield (Kg / Hectare),Rank of Rice Yield,,,
Chile,174900,65,10,76,"26,200",77,"6,664.80",16,,,
Mauritania,383000,50,96.1,26,"73,000",63,"5,249.20",36,,,
Turkey,1000000,40,12.4,68,"126,400",52,"7,910.20",7,,,
Kyrgyzstan,41200,87,6.5,81,"11,300",89,"3,646.40",63,,,
Laos,3400000,21,493.9,3,"783,800",23,"4,386.50",49,,,
Fiji,5700,100,6.5,82,"1,900",103,"3,000.00",76,,,
Ghana,925000,42,31.2,49,"321,200",34,"2,879.70",81,,,
Timor Leste,80000,79,63.4,38,"25,000",79,"3,202.80",74,,,
Mexico,245200,60,2,93,"38,500",70,"6,366.30",21,,,
Saint Vincent and the Grenadines,11,117,0.1,112,4,117,"2,750.00",86,,,
Malawi,133000,72,7.4,80,74900,61,"1,776.60",94,,,
Malaysia,2900000,25,89.2,27,684400,27,"4,255.00",52,,,
Thailand,28400000,6,409.9,7,9700000,5,"2,918.80",80,,,
Ecuador,1100000,36,64.4,36,257300,37,"4,274.40",50,,,
Cambodia,10900000,10,677.4,2,3000000,11,"3,627.10",64,,,
Ethiopia,170600,66,1.6,98,57600,69,"2,963.60",79,,,
Nigeria,8400000,13,42.7,43,5300000,8,"1,597.10",97,,,
Guinea Bissau,187000,63,118,21,120000,53,"1,558.30",99,,,
Ivory Coast,1900000,29,75.6,30,697900,26,"2,699.60",88,,,
El Salvador,35000,90,5.3,86,5500,96,"6,415.00",20,,,
Eswatini,1000,108,0.86,104,297,110,"3,367.00",70,,,
Brazil,10400000,12,49.5,42,1700000,14,"6,063.30",24,,,
Gabon,1800,103,0.89,103,601,108,"3,054.90",75,,,
Burundi,88500,77,8.3,78,59000,68,"1,500.20",102,,,
North Macedonia,21300,94,10.3,74,3500,98,"6,112.60",23,,,
Vietnam,43400000,5,459,6,7500000,6,"5,816.50",27,,,
Suriname,274300,59,482.6,5,60200,67,"4,557.00",46,,,
Angola,10100,98,0.35,107,8500,91,"1,193.10",107,,,
Russia,1100000,37,7.5,79,190700,42,"5,761.50",28,,,
Mali,3200000,22,167.3,15,924600,20,"3,456.80",68,,,
Bhutan,49900,85,68.7,34,12300,86,"4,072.30",55,,,
Nepal,5600000,16,192,13,1500000,16,"3,760.70",60,,,
Italy,1500000,31,24.7,54,220000,39,"6,783.70",15,,,
France,82600,78,1.2,100,15100,83,"5,468.20",33,,,
Hungary,11000,97,1.1,102,2700,99,"4,162.30",54,,,
Albania,585,111,0.2,109,140,111,"4,178.60",53,,,
Zimbabwe,1600,104,0.11,110,26100,78,59.9,118,,,
Senegal,1200000,35,73.5,32,345600,33,"3,344.20",71,,,
Trinidad and Tobago,1000,109,0.74,106,2000,102,500,115,,,
Egypt,6700000,15,68.6,35,799000,22,"8,372.60",4,,,
Myanmar,26300000,7,487.7,4,6900000,7,"3,795.70",59,,,
Belize,13900,95,35.1,47,2400,100,"5,750.90",29,,,
Uzbekistan,314700,55,9.6,77,64900,66,"4,846.60",42,,,
Papua New Guinea,853,110,0.1,111,406,109,"2,101.00",90,,,
Uganda,220000,62,5.7,84,77400,60,"2,842.50",82,,,
Jamaica,1,118,0.1,113,1,118,"1,000.00",110,,,
Kazakhstan,560700,47,30.7,50,102000,57,"5,498.40",32,,,
Taiwan,1800000,30,76,29,270100,35,"6,632.50",17,,,
Philippines,18800000,8,176.8,14,4700000,9,"4,044.90",57,,,
South Korea,5000000,17,97.1,25,729800,24,"6,873.10",12,,,
Sri Lanka,4600000,18,214.1,11,957600,19,"4,795.40",43,,,
Micronesia,199,113,1.9,96,99,113,"2,010.10",91,,,
Mozambique,341000,54,11.8,71,724800,25,470.5,116,,,
South Africa,3100,101,0.05,115,1100,106,"2,804.90",83,,,
Syria,100,114,0.01,118,20,115,"5,000.00",40,,,
Argentina,1200000,34,26.7,52,183300,44,"6,491.90",19,,,
Romania,39500,88,2,94,7400,94,"5,320.30",35,,,
Afghanistan,382500,51,12.1,69,127500,51,"2,999.30",77,,,
Venezuela,764700,44,24,56,179000,45,"4,270.70",51,,,
Brunei,1500,105,3.5,88,773,107,"1,940.50",93,,,
Uruguay,1200000,33,342.3,8,145000,49,"8,275.90",5,,,
Morocco,64600,82,1.9,95,8000,92,"8,102.10",6,,,
Haiti,177000,64,15.9,64,65000,64,"2,722.80",87,,,
Ukraine,54600,84,1.3,99,10500,90,"5,197.10",37,,,
Benin,406000,49,35.7,46,113700,54,"3,570.20",65,,,
Dominican Republic,1100000,38,105.3,23,195500,40,"5,529.20",31,,,
Iran,2000000,28,24.4,55,437200,31,"4,558.20",45,,,
Comoros,35500,89,41.7,44,27700,75,"1,281.70",105,,,
Indonesia,54600000,3,206,12,10700000,4,"5,113.70",39,,,
Bolivia,600000,45,53.1,41,187300,43,"3,204.00",73,,,
Mauritius,21,116,0.02,116,6,116,"3,500.00",66,,,
China,211400000,1,151.7,17,30000000,2,"7,056.20",11,,,
Bulgaria,70900,80,10.1,75,11800,87,"6,000.00",26,,,
Cameroon,313100,56,13.2,67,268400,36,"1,166.40",108,,,
United States,8400000,14,25.6,53,1000000,18,"8,373.50",3,,,
Guinea,2600000,27,218.7,10,1900000,12,"1,350.80",104,,,
Sierra Leone,947500,41,122.7,20,601700,28,"1,574.50",98,,,
Algeria,229,112,0.01,117,115,112,"1,991.30",92,,,
Gambia,22000,93,10.7,73,65000,65,338.5,117,,,
Honduras,57200,83,6.4,83,15200,82,"3,758.10",61,,,
Zambia,29600,92,1.8,97,24600,80,"1,203.80",106,,,
Australia,66800,81,2.7,90,7600,93,"8,771.00",1,,,
Panama,30500,57,73.3,33,89600,59,"3,405.60",69,,,
Greece,220900,61,20.5,58,29900,73,"7,398.90",10,,,
Togo,147100,71,20,59,89700,58,"1,639.80",96,,,
Nicaragua,468100,48,74.5,31,73900,62,"6,335.30",22,,,
Paraguay,1100000,39,151.6,18,162000,48,"6,600.00",18,,,
Chad,290600,58,18.9,60,192300,41,"1,510.80",101,,,
Bangladesh,54600000,4,330.6,9,11500000,3,"4,739.80",44,,,
Liberia,170000,67,38.8,45,240000,38,708.3,113,,,
Japan,10500000,11,83.2,28,1500000,15,"6,826.80",14,,,
Solomon Islands,2800,102,4.1,87,1800,104,"1,512.60",100,,,
Saudi Arabia,88,115,0.01,119,60,114,"1,466.70",103,,,
Cuba,377700000,52,33.7,48,108400,55,"3,484.30",67,,,
Central African Republic,9800,99,2.1,92,5800,95,"1,689.00",95,,,
Pakistan,11100000,9,55.1,40,3000000,10,"3,663.70",62,,,
Spain,77880,43,16.7,63,103400,56,"7,533.90",9,,,
Azerbaijan,11100,96,1.1,101,4000,97,"2,761.30",85,,,
India,177600000,2,132.9,19,43800000,1,"4,057.70",56,,,
Turkmenistan,130000,74,22.2,57,171200,47,759.4,112,,,
Tajikistan,106400,76,11.9,70,12400,85,"8,588.20",2,,,
Sudan,32000,91,0.78,105,11500,88,"2,773.00",84,,,
Tanzania,3500000,20,64.1,37,1100000,17,"3,301.30",72,,,#NAME?
Rwanda,131600,73,11,72,32900,71,"3,999.80",58,,,
Madagascar,4200000,19,161.1,16,815700,21,"5,187.20",38,,,
Costa Rica,153800,69,30.7,51,31700,72,"4,858.50",41,,,
Kenya,160600,68,3.2,89,23500,81,"6,836.30",13,,,
North Korea,2800000,26,109.5,22,465800,30,"6,018.60",25,,,
Republic of the Congo,1200,106,0.23,108,2000,101,598,114,,,
Iraq,574700,46,14.6,66,127700,50,"4,501.40",48,,,
Burkina Faso,376500,53,18.6,61,177300,46,"2,124.20",89,,,
Niger,121800,75,5.7,85,26700,76,"4,553.60",47,,,
Guyana,"1,100,000",,"1,342.30",1,206400,,"5,086.50",,,,
Somalia,1100,107,0.08,114,1100,105,"1,014.20",109,,,
Colombia,"3,000,000",24,60.3,39,531200,29,"5,671.20",30,,,
Guatemala,"42,000",86,2.4,91,14100,84,"2,974.50",78,,,
Peru,"3,200,000",23,102.1,24,414500,32,"7,691.80",8,,,
DR Congo,"1,400,000",32,17,62,1800000,13,760.3,111,,,
Portugal,152800,70,14.8,65,28500,74,"5,359.60",34,,,
